,_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,Plx,e_Plx,B-V,Notes,SpType
74,0.2232728863,-50.4464587777,75,00 00 53.56,-50 26 47.3,7.42,1.6,0.79, 1.524, ,K4III
75,0.228213863,32.8256539818,76,00 00 54.77,+32 49 32.4,9.03,2.29,1.19, 1.670, ,M0
76,0.2305745718,-30.0641664515,77,00 00 55.33,-30 03 51.0,8.41,3.53,1.12, 0.022, ,A0V
77,0.2323117676,17.8678508744,78,00 00 55.76,+17 52 04.2,8.06,1.17,0.96, 1.203, ,K0
78,0.2357718602,35.316720294,79,00 00 56.57,+35 19 00.3,8.69,4.57,0.99, 0.529, ,F5
79,0.2428327384,-11.823738541,80,00 00 58.03,-11 49 24.7,8.4,15.59,1.43, 0.566, ,G2V
80,0.2434138377,-4.9325343939,81,00 00 58.53,-04 55 55.6,8.57,23.43,1.28, 0.642, ,G5
81,0.2480168522,-10.9359635319,82,00 00 59.53,-10 56 08.9,9.5,1.82,1.37, 1.107, ,G5
82,0.2480726945,52.0805620337,83,00 00 59.54,+52 04 50.0,8.85,2.28,1.3, 1.726, ,M0
83,0.2524274552,27.8863304078,84,00 01 00.43,+27 53 10.8,9.61,18.9,1.33, 0.852, ,K0
84,0.2561370144,-24.714047829,85,00 01 01.44,-24 42 50.6,10.62,3.9,2.06, 0.359, ,A2
85,0.2604630307,69.6035047896,86,00 01 02.49,+69 36 12.6,8.05,3.47,0.78, 0.018, ,B9
86,0.2614964296,-5.8350022074,87,00 01 02.76,-05 50 05.9,7.8,4.52,1.08, 0.430, ,F5
87,0.2690934424,-48.8098755962,88,00 01 04.60,-48 48 35.5,5.71,5.97,0.7, 0.911, ,G8III
88,0.277154537,53.1669426029,89,00 01 06.52,+53 10 01.0,7.87,2.6,0.96, 1.566, ,K2
89,0.2800818283,-41.8875439075,90,00 01 07.20,-41 53 14.7,7.64,9.35,0.92, 0.500, ,F5IV/V
90,0.2805308174,-5.8743477321,91,00 01 07.34,-05 52 27.6,7.66,4.21,1.23, 1.300, ,K0
91,0.2906966016,-20.7055496571,92,00 01 09.75,-20 42 20.1,8.68,4.77,1.44, 0.944, ,G8III
92,0.2923560848,-0.0760984511,93,00 01 10.13,-00 04 33.3,8.12,16.74,1.28, 0.619, ,F8V
93,0.2949984531,-32.7568365337,94,00 01 10.76,-32 45 24.5,10.1,10.48,1.48, 0.644, ,G2
94,0.3020141338,-11.9640335701,95,00 01 12.49,-11 57 50.4,8.67,7.85,1.17, 0.513, ,F5V
95,0.3049451416,13.9750881003,96,00 01 13.17,+13 58 29.1,10.46,19.83,5.16, 1.360,P,M0
96,0.3071697082,-52.7985754081,98,00 01 13.72,-52 47 54.9,9.87,6.49,1.44, 0.551, ,F6/F7V
97,0.3073814986,-21.404042329,97,00 01 13.76,-21 24 14.6,9.48,5.52,1.74, 0.530, ,F5V
98,0.3160632268,60.3552822057,99,00 01 15.84,+60 21 19.1,7.04,1.27,0.7, 2.835, ,C5p
99,0.3163760569,19.741243223,100,00 01 15.95,+19 44 28.7,8.44,4.49,1.08, 0.898, ,G0
100,0.3197097992,-47.7938314469,101,00 01 16.74,-47 47 37.8,9.88,7.35,1.74, 0.509, ,F5IV/V
101,0.3204875805,-41.487437391,102,00 01 16.90,-41 29 14.5,7.05,3.0,0.82, 1.550, ,M1III
102,0.3220750212,-68.3711274828,103,00 01 17.31,-68 22 15.7,8.29,9.15,0.76, 0.538, ,F6V
103,0.3266243146,-31.8996185345,104,00 01 18.42,-31 53 58.6,9.34,8.16,1.21, 0.543, ,F7V
104,0.3278079299,70.9289378451,105,00 01 18.68,+70 55 44.2,7.73,4.44,0.75, 0.455, ,F0
105,0.3302148739,49.9815578121,106,00 01 19.24,+49 58 53.7,6.22,4.5,0.73, 0.970, ,G7II-III
106,0.3338302112,-50.3373733304,107,00 01 20.11,-50 20 14.6,5.53,5.84,0.61, 1.615, ,M2III
107,0.3366443853,-70.1252718836,108,00 01 20.77,-70 07 31.1,8.53,0.3,0.86, 1.315, ,K3II/III
108,0.346594471,6.7914698742,109,00 01 23.18,+06 47 29.4,7.23,5.33,0.94, 0.388, ,F0
109,0.3486137639,39.6107174008,110,00 01 23.69,+39 36 38.9,8.61,20.42,1.91, 0.787, ,G5
110,0.3498468084,34.2818482225,111,00 01 23.78,+34 16 54.7,11.28,27.11,2.33, 1.308, ,M2
111,0.3576763387,-16.9484460918,112,00 01 25.66,-16 56 52.2,10.76,31.35,4.17, 1.384, ,M1.5V:
112,0.3656196554,49.0104060218,113,00 01 27.75,+49 00 37.5,8.93,0.27,1.09, 0.021, ,A0
113,0.3716470206,30.7357853733,114,00 01 29.20,+30 44 09.2,7.95,9.93,1.95, 0.654, ,G0IV
114,0.3725848359,-62.9231304264,115,00 01 29.42,-62 55 23.4,7.46,4.73,0.67, 0.160, ,A2IV
115,0.375323189,-33.7927710115,116,00 01 30.09,-33 47 33.7,8.6,8.29,0.97, 0.435, ,F3V
116,0.3805565631,-72.605899348,117,00 01 31.30,-72 36 21.3,8.55,0.36,0.87, 1.093, ,G8III
117,0.3865951357,-9.4300332791,118,00 01 32.76,-09 25 48.1,9.2,12.08,1.33, 0.606, ,G0
118,0.3901660249,44.6754011607,119,00 01 33.65,+44 40 31.6,6.82,7.49,0.83, 1.071, ,K0
119,0.395920819,-45.3447587783,120,00 01 35.04,-45 20 40.9,8.29,2.83,1.09, 1.183, ,K1IIICNIV
120,0.396424631,28.423691278,121,00 01 35.15,+28 25 25.6,6.83,3.66,0.83, 1.197, ,K2III
121,0.3987655417,-77.0657244661,122,00 01 35.85,-77 03 55.1,4.78,14.77,0.47, 1.254, ,K2III
122,0.3998847465,72.23661528,123,00 01 36.06,+72 14 11.8,7.21,5.07,0.7, 1.169, ,K0
123,0.4042312331,61.2228008031,124,00 01 37.02,+61 13 22.1,5.58,0.86,0.56, 0.407, ,F0III
124,0.4046701503,-39.3367482915,125,00 01 37.14,-39 20 12.0,8.7,5.08,1.06, 0.366, ,F2V
125,0.4088267282,14.6323240212,126,00 01 38.10,+14 37 56.3,8.06,2.94,0.95, 0.969, ,G5
126,0.4122461121,-48.9356192663,127,00 01 38.90,-48 56 06.6,10.86,11.27,2.15, 0.942, ,
127,0.4144154784,73.6118465973,128,00 01 39.30,+73 36 42.8,6.5,15.2,0.63, 0.182, ,Am...
128,0.415615352,5.3728082325,129,00 01 39.74,+05 22 21.9,9.32,6.6,1.3, 0.559, ,F8
129,0.4182981835,-30.6925368129,130,00 01 40.38,-30 41 33.0,9.14,2.93,1.38, 1.080, ,K0III
130,0.4198682772,62.0180873926,131,00 01 40.79,+62 01 05.3,8.13,8.11,0.83, 0.200, ,A4V
131,0.4220210563,-34.6535452176,132,00 01 41.28,-34 39 12.6,10.62,1.89,1.91, 0.358, ,F0
132,0.4234760593,-40.1487020394,133,00 01 41.61,-40 08 55.2,6.62,3.51,0.79, 0.545, ,F5IV
133,0.4251968285,-1.1399597985,134,00 01 42.03,-01 08 23.9,9.96,1.3,1.71, 0.264, ,A0
134,0.4267963058,-0.2177767478,135,00 01 42.42,-00 13 03.0,8.64,20.1,1.22, 0.620, ,G5
135,0.4286915781,24.2531127201,136,00 01 42.87,+24 15 11.5,6.6,5.84,0.78, 1.153, ,K2III-IV
136,0.4327060603,42.3671439079,137,00 01 43.85,+42 22 01.7,6.25,2.45,0.69,-0.042, ,B9IIIp Mn
137,0.4374442822,-16.5316612038,138,00 01 44.93,-16 31 54.2,7.83,6.34,1.89, 1.074, ,K0/K1IV
138,0.4452695284,67.5069751306,139,00 01 46.87,+67 30 25.1,10.03,1.62,1.45, 1.289, ,B0
139,0.4533324898,-68.1048974606,140,00 01 48.64,-68 06 17.3,9.04,8.98,0.93, 0.546, ,F7V
140,0.4534943201,36.3503582146,141,00 01 48.82,+36 21 01.2,8.47,5.61,1.1, 1.350, ,K5
141,0.4537773294,66.3060319601,142,00 01 48.90,+66 18 21.6,7.33,16.04,0.69, 0.730, ,K0
142,0.4552783861,76.1755975016,144,00 01 49.22,+76 10 32.2,8.66,3.57,0.75, 1.364, ,K5
143,0.4556468962,21.4625025445,143,00 01 49.24,+21 27 43.7,10.35,20.05,1.64, 1.033, ,K3
144,0.4560351217,-3.0275038232,145,00 01 49.44,-03 01 38.9,5.13,7.98,0.71,-0.128, ,B7III-IV
145,0.4558388817,-25.7985258505,146,00 01 49.49,-25 47 51.7,8.96,4.39,1.29, 0.306, ,A9V
146,0.4660599186,21.0262362756,147,00 01 51.85,+21 01 34.5,8.49,-0.13,1.19, 1.569, ,K5
147,0.47784764,26.0040493361,149,00 01 54.88,+26 00 20.1,11.26,22.92,2.17, 0.932, ,K3
148,0.4788210597,15.5285415393,148,00 01 54.91,+15 31 42.7,8.15,4.22,0.96, 0.584, ,F8
149,0.4803049035,-37.2299527373,150,00 01 55.29,-37 13 47.4,7.04,7.5,0.84, 1.060, ,K1III
150,0.4844189489,-28.1309480654,152,00 01 56.27,-28 07 51.4,10.02,5.1,1.42, 0.456, ,F5
151,0.48451136,12.6548880039,153,00 01 56.29,+12 39 17.8,8.9,5.54,1.23, 0.459, ,F8
152,0.4848741427,-41.6137744619,151,00 01 56.30,-41 36 49.5,7.78,7.56,1.37, 0.411, ,F3IV...
153,0.4900789996,-6.0140721205,154,00 01 57.59,-06 00 50.3,4.37,7.86,0.94, 1.631, ,M3III
154,0.4911922787,46.26915575,155,00 01 57.87,+46 16 09.0,9.93,2.28,1.39, 0.283, ,A2
155,0.4969301511,63.3578262583,156,00 01 59.25,+63 21 28.2,8.6,3.09,0.84, 0.100, ,B8V
156,0.500423915,-5.2139254314,157,00 02 00.08,-05 12 50.4,8.51,6.87,1.28, 0.903, ,G5
157,0.5008459972,-37.9018778865,158,00 02 00.11,-37 54 06.4,7.09,7.03,0.89, 0.999, ,K0III
158,0.5109068553,-2.7661707649,159,00 02 02.59,-02 45 58.2,6.93,16.92,0.81, 0.292, ,A3
159,0.5118149003,-69.2691982711,160,00 02 02.81,-69 16 09.1,8.68,2.07,0.8,-0.052, ,B9V
160,0.5124124896,33.6959579461,161,00 02 03.00,+33 41 45.6,8.98,2.38,1.09, 1.500, ,K5
161,0.5133541766,27.1186026592,162,00 02 03.21,+27 07 07.0,9.84,2.71,1.33, 0.696, ,G0
162,0.517190018,-30.6852281661,163,00 02 04.11,-30 41 06.8,8.98,2.92,1.26, 0.107, ,A3V
